cod_assunto;cod_item_pai;artigo;dispositivo_legal;nome;glossario
3,403;3,4;148;CP;Seqüestro e cárcere privado;"Seqüestro e cárcere privado Art. 148 - Privar alguém de sua liberdade, mediante seqüestro ou cárcere privado: Pena - reclusão, de um a três anos. § 1º - A pena é de reclusão, de dois a cinco anos: I ? se a vítima é ascendente, descendente, cônjuge ou companheiro do agente ou maior de 60 (sessenta) anos; (Redação dada pela Lei nº 11.106, de 2005) II - se o crime é praticado mediante internação da vítima em casa de saúde ou hospital; III - se a privação da liberdade dura mais de 15 (quinze) dias. IV ? se o crime é praticado contra menor de 18 (dezoito) anos; (Incluído pela Lei nº 11.106, de 2005) V ? se o crime é praticado com fins libidinosos. (Incluído pela Lei nº 11.106, de 2005) § 2º - Se resulta à vítima, em razão de maus-tratos ou da natureza da detenção, grave sofrimento físico ou moral: Pena - reclusão, de dois a oito anos."
3,404;3,4;149;CP;Redução a condição análoga à de escravo;"Redução a condição análoga à de escravo Art. 149. Reduzir alguém a condição análoga à de escravo, quer submetendo-o a trabalhos forçados ou a jornada exaustiva, quer sujeitando-o a condições degradantes de trabalho, quer restringindo, por qualquer meio, sua locomoção em razão de dívida contraída com o empregador ou preposto: (Redação dada pela Lei nº 10.803, de 11.12.2003 Pena - reclusão, de dois a oito anos, e multa, além da pena correspondente à violência. (Redação dada pela Lei nº 10.803, de 11.12.2003) § 1o - Nas mesmas penas incorre quem: (Incluído pela Lei nº 10.803, de 11.12.2003) I ? cerceia o uso de qualquer meio de transporte por parte do trabalhador, com o fim de retê-lo no local de trabalho; (Incluído pela Lei nº 10.803, de 11.12.2003) II ? mantém vigilância ostensiva no local de trabalho ou se apodera de documentos ou objetos pessoais do trabalhador, com o fim de retê-lo no local de trabalho. (Incluído pela Lei nº 10.803, de 11.12.2003) § 2o - A pena é aumentada de metade, se o crime é cometido: (Incluído pela Lei nº 10.803, de 11.12.2003) I ? contra criança ou adolescente; (Incluído pela Lei nº 10.803, de 11.12.2003) II ? por motivo de preconceito de raça, cor, etnia, religião ou origem. (Incluído pela Lei nº 10.803, de 11.12.2003)"
3,406;3,405;150;CP;Violação de domicílio;"Art. 150 - Entrar ou permanecer, clandestina ou astuciosamente, ou contra a vontade expressa ou tácita de quem de direito, em casa alheia ou em suas dependências: Pena - detenção, de um a três meses, ou multa. § 1º - Se o crime é cometido durante a noite, ou em lugar ermo, ou com o emprego de violência ou de arma, ou por duas ou mais pessoas: Pena - detenção, de seis meses a dois anos, além da pena correspondente à violência. § 2º - Aumenta-se a pena de um terço, se o fato é cometido por funcionário público, fora dos casos legais, ou com inobservância das formalidades estabelecidas em lei, ou com abuso do poder. § 3º - Não constitui crime a entrada ou permanência em casa alheia ou em suas dependências: I - durante o dia, com observância das formalidades legais, para efetuar prisão ou outra diligência; II - a qualquer hora do dia ou da noite, quando algum crime está sendo ali praticado ou na iminência de o ser. § 4º - A expressão casa compreende: I - qualquer compartimento habitado; II - aposento ocupado de habitação coletiva; III - compartimento não aberto ao público, onde alguém exerce profissão ou atividade. § 5º - Não se compreendem na expressão casa: I - hospedaria, estalagem ou qualquer outra habitação coletiva, enquanto aberta, salvo a restrição do n.º II do parágrafo anterior; II - taverna, casa de jogo e outras do mesmo gênero."
3,408;3,407;151, caput;CP;Violação de correspondência;Violação de correspondência Art. 151 - Devassar indevidamente o conteúdo de correspondência fechada, dirigida a outrem: Pena - detenção, de um a seis meses, ou multa.
3,409;3,407;151, § 1º, I;CP;Sonegação ou destruição de correspondência;"Violação de correspondência Art. 151 - Devassar indevidamente o conteúdo de correspondência fechada, dirigida a outrem: Pena - detenção, de um a seis meses, ou multa. Sonegação ou destruição de correspondência § 1º - Na mesma pena incorre: I - quem se apossa indevidamente de correspondência alheia, embora não fechada e, no todo ou em parte, a sonega ou destrói;"
3,41;3,407;art. 151, § 1º, II, III e IV;CP;Violação de comunicação telegráfica, radioelétrica ou telefônica;"Violação de correspondência Art. 151 - Devassar indevidamente o conteúdo de correspondência fechada, dirigida a outrem: Pena - detenção, de um a seis meses, ou multa. Sonegação ou destruição de correspondência § 1º - Na mesma pena incorre: Violação de comunicação telegráfica, radioelétrica ou telefônica II - quem indevidamente divulga, transmite a outrem ou utiliza abusivamente comunicação telegráfica ou radioelétrica dirigida a terceiro, ou conversação telefônica entre outras pessoas; III - quem impede a comunicação ou a conversação referidas no número anterior; IV - quem instala ou utiliza estação ou aparelho radioelétrico, sem observância de disposição legal."
3,411;3,407;152;CP;Violação de Correspondência comercial;Art. 152 - Abusar da condição de sócio ou empregado de estabelecimento comercial ou industrial para, no todo ou em parte, desviar, sonegar, subtrair ou suprimir correspondência, ou revelar a estranho seu conteúdo: Pena - detenção, de três meses a dois anos. Parágrafo único - Somente se procede mediante representação.
3,413;3,412;153;CP;Divulgação de segredo;Divulgação de segredo Art. 153 - Divulgar alguém, sem justa causa, conteúdo de documento particular ou de correspondência confidencial, de que é destinatário ou detentor, e cuja divulgação possa produzir dano a outrem: Pena - detenção, de um a seis meses, ou multa. § 1º Somente se procede mediante representação. (Parágrafo único renumerado pela Lei nº 9.983, de 2000) § 1o-A. Divulgar, sem justa causa, informações sigilosas ou reservadas, assim definidas em lei, contidas ou não nos sistemas de informações ou banco de dados da Administração Pública: (Incluído pela Lei nº 9.983, de 2000) Pena ? detenção, de 1 (um) a 4 (quatro) anos, e multa. (Incluído pela Lei nº 9.983, de 2000) § 2o Quando resultar prejuízo para a Administração Pública, a ação penal será incondicionada. (Incluído pela Lei nº 9.983, de 2000)
3,414;3,412;154;CP;Violação do segredo profissional;Violação do segredo profissional Art. 154 - Revelar alguém, sem justa causa, segredo, de que tem ciência em razão de função, ministério, ofício ou profissão, e cuja revelação possa produzir dano a outrem: Pena - detenção, de três meses a um ano, ou multa. Parágrafo único - Somente se procede mediante representação.
3,416;3,415;155;CP;Furto;"Furto Art. 155 - Subtrair, para si ou para outrem, coisa alheia móvel: Pena - reclusão, de um a quatro anos, e multa. § 1º - A pena aumenta-se de um terço, se o crime é praticado durante o repouso noturno. § 2º - Se o criminoso é primário, e é de pequeno valor a coisa furtada, o juiz pode substituir a pena de reclusão pela de detenção, diminuí-la de um a dois terços, ou aplicar somente a pena de multa. § 3º - Equipara-se à coisa móvel a energia elétrica ou qualquer outra que tenha valor econômico. Furto qualificado § 4º - A pena é de reclusão de dois a oito anos, e multa, se o crime é cometido: I - com destruição ou rompimento de obstáculo à subtração da coisa; II - com abuso de confiança, ou mediante fraude, escalada ou destreza; III - com emprego de chave falsa; IV - mediante concurso de duas ou mais pessoas. § 5º - A pena é de reclusão de 3 (três) a 8 (oito) anos, se a subtração for de veículo automotor que venha a ser transportado para outro Estado ou para o exterior. (Incluído pela Lei nº 9.426, de 1996)"
3,417;3,415;155, § 4o.;CP;Furto Qualificado;"Art. 155 - Subtrair, para si ou para outrem, coisa alheia móvel: Pena - reclusão, de um a quatro anos, e multa § 4º - A pena é de reclusão de dois a oito anos, e multa, se o crime é cometido: I - com destruição ou rompimento de obstáculo à subtração da coisa; II - com abuso de confiança, ou mediante fraude, escalada ou destreza; III - com emprego de chave falsa; IV - mediante concurso de duas ou mais pessoas. § 5º - A pena é de reclusão de 3 (três) a 8 (oito) anos, se a subtração for de veículo automotor que venha a ser transportado para outro Estado ou para o exterior."
3,418;3,415;156;CP;Furto de coisa comum;Furto de coisa comum Art. 156 - Subtrair o condômino, co-herdeiro ou sócio, para si ou para outrem, a quem legitimamente a detém, a coisa comum: Pena - detenção, de seis meses a dois anos, ou multa. § 1º - Somente se procede mediante representação. § 2º - Não é punível a subtração de coisa comum fungível, cujo valor não excede a quota a que tem direito o agente.
3,419;3,415;157, caput;CP;Roubo;<<p>> Roubo Art. 157 - Subtrair coisa m&óvel alheia, para si ou para outrem, mediante grave amea&ça ou viol&ência a pessoa, ou depois de hav&ê-la, por qualquer meio, reduzido &à impossibilidade de resist&ência: Pena - reclus&ão, de quatro a dez anos, e multa. &§ 1&º - Na mesma pena incorre quem, logo depois de subtra&ída a coisa, emprega viol&ência contra pessoa ou grave amea&ça, a fim de assegurar a impunidade do crime ou a deten&ç&ão da coisa para si ou para terceiro.<</p>>
3,42;3,415;158;CP;Extorsão;Extorsão Art. 158 - Constranger alguém, mediante violência ou grave ameaça, e com o intuito de obter para si ou para outrem indevida vantagem econômica, a fazer, tolerar que se faça ou deixar fazer alguma coisa: Pena - reclusão, de quatro a dez anos, e multa. § 1º - Se o crime é cometido por duas ou mais pessoas, ou com emprego de arma, aumenta-se a pena de um terço até metade. § 2º - Aplica-se à extorsão praticada mediante violência o disposto no § 3º do artigo anterior. Vide Lei nº 8.072, de 25.7.90
3,421;3,415;159;CP;Extorsão mediante seqüestro;Extorsão mediante seqüestro Art. 159 - Seqüestrar pessoa com o fim de obter, para si ou para outrem, qualquer vantagem, como condição ou preço do resgate: Vide Lei nº 8.072, de 25.7.90 Pena - reclusão, de oito a quinze anos.. (Redação dada pela Lei nº 8.072, de 25.7.1990) § 1o Se o seqüestro dura mais de 24 (vinte e quatro) horas, se o seqüestrado é menor de 18 (dezoito) ou maior de 60 (sessenta) anos, ou se o crime é cometido por bando ou quadrilha. Vide Lei nº 8.072, de 25.7.90 (Redação dada pela Lei nº 10.741, de 2003) Pena - reclusão, de doze a vinte anos. (Redação dada pela Lei nº 8.072, de 25.7.1990) § 2º - Se do fato resulta lesão corporal de natureza grave: Vide Lei nº 8.072, de 25.7.90 Pena - reclusão, de dezesseis a vinte e quatro anos. (Redação dada pela Lei nº 8.072, de 25.7.1990) § 3º - Se resulta a morte: Vide Lei nº 8.072, de 25.7.90 Pena - reclusão, de vinte e quatro a trinta anos. (Redação dada pela Lei nº 8.072, de 25.7.1990) § 4º - Se o crime é cometido em concurso, o concorrente que o denunciar à autoridade, facilitando a libertação do seqüestrado, terá sua pena reduzida de um a dois terços. (Redação dada pela Lei nº 9.269, de 1996).
3,422;3,415;160;CP;Extorsão indireta;Extorsão indireta Art. 160 - Exigir ou receber, como garantia de dívida, abusando da situação de alguém, documento que pode dar causa a procedimento criminal contra a vítima ou contra terceiro: Pena - reclusão, de um a três anos, e multa.
3,423;3,415;161, caput;CP;Alteração de limites;Alteração de limites Art. 161 - Suprimir ou deslocar tapume, marco, ou qualquer outro sinal indicativo de linha divisória, para apropriar-se, no todo ou em parte, de coisa imóvel alheia: Pena - detenção, de um a seis meses, e multa.
3,424;3,415;161, I;CP;Usurpação de águas;"Alteração de limites Art. 161 - Suprimir ou deslocar tapume, marco, ou qualquer outro sinal indicativo de linha divisória, para apropriar-se, no todo ou em parte, de coisa imóvel alheia: Pena - detenção, de um a seis meses, e multa. § 1º - Na mesma pena incorre quem: Usurpação de águas I - desvia ou represa, em proveito próprio ou de outrem, águas alheias;"
3,425;3,415;161, II e art. 9º;CP e Lei n. 5.741/71;Esbulho possessório;Alteração de limites Art. 161 - Suprimir ou deslocar tapume, marco, ou qualquer outro sinal indicativo de linha divisória, para apropriar-se, no todo ou em parte, de coisa imóvel alheia: Pena - detenção, de um a seis meses, e multa. § 1º - Na mesma pena incorre quem: Esbulho possessório II - invade, com violência a pessoa ou grave ameaça, ou mediante concurso de mais de duas pessoas, terreno ou edifício alheio, para o fim de esbulho possessório. § 2º - Se o agente usa de violência, incorre também na pena a esta cominada. § 3º - Se a propriedade é particular, e não há emprego de violência, somente se procede mediante queixa.
3,426;3,415;163;CP;Dano;"Dano Art. 163 - Destruir, inutilizar ou deteriorar coisa alheia: Pena - detenção, de um a seis meses, ou multa. Dano qualificado Parágrafo único - Se o crime é cometido: I - com violência à pessoa ou grave ameaça; II - com emprego de substância inflamável ou explosiva, se o fato não constitui crime mais gr III - contra o patrimônio da União, Estado, Município, empresa concessionária de serviços públicos ou sociedade de economia mista; (Redação dada pela Lei nº 5.346, de 3.11.1967) IV - por motivo egoístico ou com prejuízo considerável para a vítima: Pena - detenção, de seis meses a três anos, e multa, além da pena correspondente à violência."
3,427;3,415;164;CP;Introdução ou abandono de animais em propriedade alheia;Introdução ou abandono de animais em propriedade alheia Art. 164 - Introduzir ou deixar animais em propriedade alheia, sem consentimento de quem de direito, desde que o fato resulte prejuízo: Pena - detenção, de quinze dias a seis meses, ou multa.
3,428;3,415;165;CP;Dano em coisa de valor artístico, arqueológico ou histórico;Dano em coisa de valor artístico, arqueológico ou histórico Art. 165 - Destruir, inutilizar ou deteriorar coisa tombada pela autoridade competente em virtude de valor artístico, arqueológico ou histórico: Pena - detenção, deseis meses a dois anos, e multa.
3,429;3,415;166;CP;Alteração de local especialmente protegido;Alteração de local especialmente protegido Art. 166 - Alterar, sem licença da autoridade competente, o aspecto de local especialmente protegido por lei: Pena - detenção, de um mês a um ano, ou multa.
3,43;3,415;art. 168-A;CP e Lei 8.212/91;Apropriação indébita Previdenciária;"Art. 168-A. Deixar de repassar à previdência social as contribuições recolhidas dos contribuintes, no prazo e forma legal ou convencional: (Incluído pela Lei nº 9.983, de 2000) Pena - reclusão, de 2 (dois) a 5 (cinco) anos, e multa. (Incluído pela Lei nº 9.983, de 2000) § 1o Nas mesmas penas incorre quem deixar de: (Incluído pela Lei nº 9.983, de 2000) I - recolher, no prazo legal, contribuição ou outra importância destinada à previdência social que tenha sido descontada de pagamento efetuado a segurados, a terceiros ou arrecadada do público; (Incluído pela Lei nº 9.983, de 2000) II - recolher contribuições devidas à previdência social que tenham integrado despesas contábeis ou custos relativos à venda de produtos ou à prestação de serviços; (Incluído pela Lei nº 9.983, de 2000) III - pagar benefício devido a segurado, quando as respectivas cotas ou valores já tiverem sido reembolsados à empresa pela previdência social. (Incluído pela Lei nº 9.983, de 2000) § 2o É extinta a punibilidade se o agente, espontaneamente, declara, confessa e efetua o pagamento das contribuições, importâncias ou valores e presta as informações devidas à previdência social, na forma definida em lei ou regulamento, antes do início da ação fiscal. (Incluído pela Lei nº 9.983, de 2000) § 3o É facultado ao juiz deixar de aplicar a pena ou aplicar somente a de multa se o agente for primário e de bons antecedentes, desde que: (Incluído pela Lei nº 9.983, de 2000) I - tenha promovido, após o início da ação fiscal e antes de oferecida a denúncia, o pagamento da contribuição social previdenciária, inclusive acessórios; ou (Incluído pela Lei nº 9.983, de 2000) II - o valor das contribuições devidas, inclusive acessórios, seja igual ou inferior àquele estabelecido pela previdência social, administrativamente, como sendo o mínimo para o ajuizamento de suas execuções fiscais. (Incluído pela Lei nº 9.983, de 2000)"
3,431;3,415;171;CP;Estelionato;"Estelionato Art. 171 - Obter, para si ou para outrem, vantagem ilícita, em prejuízo alheio, induzindo ou mantendo alguém em erro, mediante artifício, ardil, ou qualquer outro meio fraudulento: Pena - reclusão, de um a cinco anos, e multa. § 1º - Se o criminoso é primário, e é de pequeno valor o prejuízo, o juiz pode aplicar a pena conforme o disposto no art. 155, § 2º. § 2º - Nas mesmas penas incorre quem: Disposição de coisa alheia como própria I - vende, permuta, dá em pagamento, em locação ou em garantia coisa alheia como própria; Alienação ou oneração fraudulenta de coisa própria II - vende, permuta, dá em pagamento ou em garantia coisa própria inalienável, gravada de ônus ou litigiosa, ou imóvel que prometeu vender a terceiro, mediante pagamento em prestações, silenciando sobre qualquer dessas circunstâncias; Defraudação de penhor III - defrauda, mediante alienação não consentida pelo credor ou por outro modo, a garantia pignoratícia, quando tem a posse do objeto empenhado; Fraude na entrega de coisa IV - defrauda substância, qualidade ou quantidade de coisa que deve entregar a alguém; Fraude para recebimento de indenização ou valor de seguro V - destrói, total ou parcialmente, ou oculta coisa própria, ou lesa o próprio corpo ou a saúde, ou agrava as conseqüências da lesão ou doença, com o intuito de haver indenização ou valor de seguro; Fraude no pagamento por meio de cheque VI - emite cheque, sem suficiente provisão de fundos em poder do sacado, ou lhe frustra o pagamento."
3,432;3,415;171, 3º;CP;Estelionato Majorado;Estelionato Art. 171 - Obter, para si ou para outrem, vantagem ilícita, em prejuízo alheio, induzindo ou mantendo alguém em erro, mediante artifício, ardil, ou qualquer outro meio fraudulento: Pena - reclusão, de um a cinco anos, e multa. § 3º - A pena aumenta-se de um terço, se o crime é cometido em detrimento de entidade de direito público ou de instituto de economia popular, assistência social ou beneficência.
3,433;3,415;176;CP;Outras fraudes;Art. 176 - Tomar refeição em restaurante, alojar-se em hotel ou utilizar-se de meio de transporte sem dispor de recursos para efetuar o pagamento: Pena - detenção, de quinze dias a dois meses, ou multa. Parágrafo único - Somente se procede mediante representação, e o juiz pode, conforme as circunstâncias, deixar de aplicar a pena.
3,434;3,415;179;CP;Fraude à execução;Fraude à execução Art. 179 - Fraudar execução, alienando, desviando, destruindo ou danificando bens, ou simulando dívidas: Pena - detenção, de seis meses a dois anos, ou multa. Parágrafo único - Somente se procede mediante queixa.
3,435;3,415;180, caput;CP;Receptação;Receptação Art. 180 - Adquirir, receber, transportar, conduzir ou ocultar, em proveito próprio ou alheio, coisa que sabe ser produto de crime, ou influir para que terceiro, de boa-fé, a adquira, receba ou oculte: (Redação dada pela Lei nº 9.426, de 1996) Pena - reclusão, de um a quatro anos, e multa. (Redação dada pela Lei nº 9.426, de 1996) Receptação qualificada (Redação dada pela Lei nº 9.426, de 1996) § 1º - Adquirir, receber, transportar, conduzir, ocultar, ter em depósito, desmontar, montar, remontar, vender, expor à venda, ou de qualquer forma utilizar, em proveito próprio ou alheio, no exercício de atividade comercial ou industrial, coisa que deve saber ser produto de crime: (Redação dada pela Lei nº 9.426, de 1996) Pena - reclusão, de três a oito anos, e multa. (Redação dada pela Lei nº 9.426, de 1996) § 2º - Equipara-se à atividade comercial, para efeito do parágrafo anterior, qualquer forma de comércio irregular ou clandestino, inclusive o exercício em residência. (Redação dada pela Lei nº 9.426, de 1996) § 3º - Adquirir ou receber coisa que, por sua natureza ou pela desproporção entre o valor e o preço, ou pela condição de quem a oferece, deve presumir-se obtida por meio criminoso: (Redação dada pela Lei nº 9.426, de 1996) Pena - detenção, de um mês a um ano, ou multa, ou ambas as penas. (Redação dada pela Lei nº 9.426, de 1996) § 4º - A receptação é punível, ainda que desconhecido ou isento de pena o autor do crime de que proveio a coisa. (Redação dada pela Lei nº 9.426, de 1996) § 5º - Na hipótese do § 3º, se o criminoso é primário, pode o juiz, tendo em consideração as circunstâncias, deixar de aplicar a pena. Na receptação dolosa aplica-se o disposto no § 2º do art. 155. (Incluído pela Lei nº 9.426, de 1996) § 6º - Tratando-se de bens e instalações do patrimônio da União, Estado, Município, empresa concessionária de serviços públicos ou sociedade de economia mista, a pena prevista no caput deste artigo aplica-se em dobro. (Incluído pela Lei nº 9.426, de 1996)
3,436;3,415;168, caput;CP;Apropriação indébita;Apropriação indébita Art. 168 - Apropriar-se de coisa alheia móvel, de que tem a posse ou a detenção: Pena - reclusão, de um a quatro anos, e multa.
3,437;3,415;169;CP;Apropriação de Coisa Havida por Erro, Caso Fortuito ou Força da Natureza;"Art. 169 - Apropriar-se alguém de coisa alheia vinda ao seu poder por erro, caso fortuito ou força da natureza: Pena - detenção, de um mês a um ano, ou multa. Parágrafo único - Na mesma pena incorre: I - quem acha tesouro em prédio alheio e se apropria, no todo ou em parte, da quota a que tem direito o proprietário do prédio; II - quem acha coisa alheia perdida e dela se apropria, total ou parcialmente, deixando de restituí-la ao dono ou legítimo possuidor ou de entregá-la à autoridade competente, dentro no prazo de 15 (quinze) dias."
