cod_assunto;cod_item_pai;artigo;dispositivo_legal;nome
3,541;3,523;306;CP;Falsificação do sinal empregado no contraste de metal precioso ou na fiscalização alfandegária, ou para outros fins
3,542;3,523;307 e 308;CP;Falsa identidade
3,543;3,523;309 e 310;CP;Fraude de lei sobre estrangeiros
3,545;3,523;294 e 295;CP;Petrechos de Falsificação de Papéis Públicos
3,546;3,523;311;CP;Adulteração de Sinal Identificador de Veículo Automotor
3,548;3,547;art. 312, caput e § 1º;CP;Peculato
3,55;3,547;313;CP;Peculato mediante erro de outrem
3,551;3,547;314;CP;Extravio, sonegação ou inutilização de livro ou documento
3,552;3,547;315;CP;Emprego irregular de verbas ou rendas públicas
3,553;3,547;art. 316, caput;CP;Concussão
3,554;3,547;316, §§ 1º e 2º;CP;Excesso de exação
3,555;3,547;317, caput e § 2º;CP;Corrupção passiva
3,556;3,547;318;CP;Facilitação de contrabando ou descaminho
3,557;3,547;319 e 319-A;CP;Prevaricação
3,558;3,547;320;CP;Condescendência criminosa
3,559;3,547;321;CP;Advocacia administrativa
3,56;3,547;322;CP;Violência arbitrária
3,561;3,547;323;CP;Abandono de função
3,562;3,547;324;CP;Exercício funcional ilegalmente antecipado ou prolongado
3,563;3,547;325;CP;Violação do sigilo funcional
3,564;3,547;326;CP;Violação do sigilo de proposta de concorrência
3,565;5,872;art 328;CP;Usurpação de função pública
3,566;5,872;art. 329;CP;Resistência
3,567;5,872;332;CP;Tráfico de influência
3,568;5,872;333;CP;Corrupção ativa
3,569;5,872;335;CP;Impedimento, perturbação ou fraude de concorrência
3,57;5,872;336;CP;Inutilização de edital ou de sinal
3,571;5,872;337, caput;CP;Subtração ou inutilização de livro ou documento
3,572;5,872;330;CP;Desobediência
3,573;5,872;331;CP;Desacato
3,574;5,872;334;CP;Contrabando ou descaminho
3,575;5,874;338;CP;Reingresso de estrangeiro expulso
3,576;5,874;339;CP;Denunciação caluniosa
3,577;5,874;340;CP;Comunicação falsa de crime ou de contravenção
3,578;5,874;341;CP;Auto-acusação falsa
3,579;5,874;342 e 343;CP;Falso testemunho ou falsa perícia
3,58;5,874;344;CP;Coação no curso do processo
3,581;5,874;345 e 346;CP;Exercício arbitrário das próprias razões
3,582;5,874;347;CP;Fraude processual
3,583;5,874;348;CP;Favorecimento pessoal
3,584;5,874;349;CP;Favorecimento real
3,585;5,874;350;CP;Exercício arbitrário ou abuso de poder
3,586;5,874;351;CP;Fuga de pessoa presa ou submetida a medida de segurança
3,587;5,874;352;CP;Evasão mediante violência contra a pessoa
3,588;5,874;353;CP;Arrebatamento de preso
3,589;5,874;354;CP;Motim de presos
3,59;5,874;355, caput;CP;Patrocínio infiel
3,591;5,874;355, § único;CP;Patrocínio simultâneo ou tergiversação
3,592;5,874;356;CP;Sonegação de papel ou objeto de valor probatório
3,593;5,874;357;CP;Exploração de prestígio
3,594;5,874;358;CP;Violência ou fraude em arrematação judicial
3,595;5,874;359;CP;Desobediência a decisão judicial sobre perda ou suspensão de direitos
3,596;3,547;313-A;CP;Inserção de dados falsos em sistema de informações
3,597;3,547;313-B;CP;Modificação ou alteração não autorizada de sistema de informações
3,598;5,872;337-A;CP e Lei 8.212/91;Sonegação de contribuição previdenciária
3,604;3,603;art. 1º;DL 201/67 e Lei 1.079/50;Crimes de Responsabilidade
3,605;3,603;art. 2º;Lei 1.521/51;Crimes contra a Economia Popular
3,606;3,603;arts. 3º e 4º;Lei 4.898/65;Crimes de Abuso de Autoridade
3,608;3,607;Art. 33, caput e § 1º;Lei 11.343/06;Tráfico de Drogas e Condutas Afins
3,61;3,603;Arts. 36 a 46;Lei 6.538/78;Crimes contra o Serviço Postal e o Serviço de Telegrama
3,611;3,603;Arts. 8º a 29;Lei 7.170/83;Crimes contra a Segurança Nacional, a Ordem Política e Social
3,612;3,603;Arts. 2º a 23;Lei 7.492/86;Crimes contra o Sistema Financeiro Nacional
3,613;3,603;Arts. 2º a 20;Lei 7.716/89;Crimes Resultante de Preconceito de Raça ou de Cor
3,614;3,603;Arts. 1º a 2º;Lei 8.137;Crimes contra a Ordem Tributária
3,615;3,603;Art. 4º ao 6 e arts. 1º e 2º;Lei 8.137/90 e Lei 8.176/91;Crimes contra a Ordem Econômica
3,616;3,603;Art. 7º e arts.61 a 80;Lei 8.137/90 e Lei 8.078/90;Crimes contra as Relações de Consumo
3,617;3,603;Art. 19;Lei 8.429-92;Representação caluniosa
3,618;3,603;Arts. 29 a 69A;Lei 9.605/98;Crimes contra o Meio Ambiente e o Patrimônio Genético
3,619;3,618;art. 1º;Lei 5.197/67;Crimes contra a Fauna
3,62;3,618;Art. 38 a 52;Lei 9.605/98;Crimes contra a Flora
3,621;3,618;Art. 54 a 61;Lei 9.605/98;Da Poluição
3,622;3,618;ART. 56;Lei 9605;Agrotóxicos
3,624;3,618;art. 29;Lei 6.453/77;Caça
3,626;3,618;Art. 27;Lei nº 11.105/2005;Liberação ou Descarte de OGM (Organismo Geneticamente Modificado)
3,627;3,618;Lei 5197, art. 27, §3º;Lei nº 5.197/67, Lei nº 7.643/87, Lei 7.679/88, DL 221/67;Pesca
3,628;3,603;Art. 1º;Lei 9.613/98;"Crimes de &quot;Lavagem&quot; ou Ocultação de Bens, Direitos ou Valores"
3,629;3,603;Art. 183;Lei 9.472/97;Crimes contra as Telecomunicações
3,63;3,603;Art. 125;Lei 6.815/80;Crimes Previstos na Lei de Estrangeiros
3,631;3,603;art. 1º;Lei 9.455/97;Crimes de Tortura
3,632;3,603;art.302 a 312;Lei 9.503/97;Crimes de Trânsito
3,633;3,603;Arts. 12 a 18;Lei 10.826/03;Crimes do Sistema Nacional de Armas
3,634;3,603;Arts. 12 a 22;Lei 5.250/67;Crimes de Imprensa
3,637;3,603;Arts. 228 a 244-B;Lei 8.069/90;Crimes Previstos no Estatuto da criança e do adolescente
3,638;3,603;Arts.73 a 74;Lei 4.728/65;Crimes contra o mercado de capitais
3,64;3,603;Arts. 1º a 3º;Lei 2.889/56;Crimes de genocídio
3,641;3,603;Art. 10;Lei 9.296/96;Sigilo Telefônico
3,642;3,603;Arts. 89 a 98;Lei 8.666/93;Crimes da Lei de licitações
3,643;3,603;Arts. 14 a 20;Lei 9.434/97;Crimes da Lei de remoção de órgãos e tecidos
3,647;3,603;Art. 58;Lei 6.001/73;Crimes praticados contra os índios e a cultura indígena
3,65;3,603;Art. 10;Lei 7.347/85;Recusa, retardamento ou omissão de dados técnicos indispensáveis à propositura de Ação Civil Pública
3,651;3,603;Art. 19 e 20;Lei 4.947/66;Crimes Agrários
3,653;3,603;Art. 4º;Lei 1.579/52;Crimes relacionados à Comissão Parlamentar de Inquérito
3,654;3,603;Arts. 289 a 354;Lei 4.737/65;Crimes Eleitorais
3,655;3,603;Art. 10º;LC 105/01;Crime de Quebra de Sigilo Financeiro
3,656;3,603;Arts. 56, 70, 72;Lei 4.117/62;Crimes do Código Brasileiro de Telecomunicações
3,659;3,603;Arts. 96 a 108;Lei 10.741/03;Crimes Previstos no Estatuto do Idoso
3,66;3,603;Arts. 50 a 52;Lei 6.766/79;Parcelamento do solo urbano
3,661;3,603;arts. 168 a 178;Lei 11.101/05;Crimes Falimentares
3,664;3,603;arts. 136 a 408;CPM (Lei 1.101/69);Crimes Militares
3,692;287;arts. 18 a 70;DL 3688/41;Contravenções Penais
4,291;1,209;Arts. 69 a 91;CPP;Jurisdição e Competência
4,31;1,209;322;cpp;Fiança
4,355;1,209;"311; 254";"CPP; CPPM";Prisão Preventiva
4,37;4,368;"396; 79, 396, 492";"CPP; CPPM";Recebimento
4,371;4,368;"395; 78";"CPP; CPPM";Rejeição
4,656;4,654;art. 1º e segs.;Lei 9610/98;Direito Autoral
4,66;4,654;arts. 2º, I, 229 a 237;Lei 9279/96;Patente
4,67;4,654;arts. 2º, II, 94 A 237;Lei 9279/96;Desenho Industrial
4,68;4,654;arts. 2º, III, 122 a 216;Lei 9279/96;Marca
4,701;7,947;arts. 104 a 184;Lei 10406/02;Ato / Negócio Jurídico
4,703;4,701;Arts. 138 a 184;Lei 10406/02;Defeito, nulidade ou anulação
4,706;4,701;arts. 441 a 457;Lei 10406/02;Evicção ou Vicio Redibitório
4,718;7,688;- arts. 286 a 298;Lei nº 10.406/02 (Código Civil);Cessão de Crédito
4,728;9,58;Resolução BACEN nº 3265, art. 1º;"Resoluções Bacen nºs 3265/2005 e 3266/2005;";Câmbio
4,794;9,58;"arts. 92 a 94, 96;";Lei Federal nº 4504/64 (Estatuto da Terra),;Parceria Agrícola e/ou pecuária
4,813;9,58;art. 1º;"Lei Federal nº 4886/65;";Representação comercial
4,829;4,862;14;Lei n. 8.078/90 (C.D.C.);Atraso de vôo
4,83;4,862;14;Lei n. 8.078/90 (C.D.C.);Cancelamento de vôo
4,831;4,862;14;Lei n. 8.078/90 (C.D.C.);Overbooking
4,832;4,862;14;Lei n. 8.078/90 (C.D.C.);Extravio de bagagem
4,839;9,58;"arts. 8º a 44;";Lei Federal nº 4380/64,;Sistema Financeiro da Habitação
4,84;4,839;art. 19;Lei Federal nº 10.150, de 2000;Equivalência salarial
4,841;4,839;art. 320;Lei nº 10.406/02 (Código Civil) -;Quitação
4,842;4,839;art. 1º;"Lei Federal nº 8100/90; Lei Federal nº 8177/91Lei Federal nº 8692/93";Reajuste de Prestações
4,843;4,839;art. 1º;"Lei Federal nº 8004/90,Lei Federal nº 8692/93, Lei Federal nº 10150/2000;";Transferência de Financiamento (contrato de gaveta)
4,846;4,839;Art. 37;Decreto Lei 70/66;Sustação/Alteração de Leilão
4,847;4,839;"- art. 757;";"Lei nº 10.406/02 (Código Civil) Circular SUSEP nº 111/99;";Seguro
4,854;4,839;art. 15;Lei 8.692, de 28 de julho de 1993;Revisão do Saldo Devedor
4,897;9,981;artigos 44, inciso I e 53 à 61;Lei nº 10.406/02 (Código Civil) -;Associação
4,899;4,897;arts. 59 e 60;Lei nº 10.406/02 (Código Civil) %u2013;Assembléia
4,902;4,897;Artigo 67 e 68;Lei nº 10.406/02 (Código Civil) -;Eleição
4,904;4,897;arts 54, inciso VI e 61.;Lei nº 10.406/02 (Código Civil) -;Extinção
4,905;9,981;Artigos: 62 a 69;Lei nº 10.406/02 (Código Civil) -;Fundação de Direito Privado
4,907;4,905;Art. 67;Lei 10406/02;Assembléia
4,909;4,905;Art. 59, pár. Único;Lei 10406/02;Eleição
4,91;4,905;Art. 69;Lei 10406/02;Extinção
4,933;5,724;Art. 1.031;Lei nº 10.406/02;Apuração de haveres
4,934;5,724;Arts. 997 a 1.000;Lei nº 10.406/02 (Código Civil) - .;Constituição
4,935;5,724;Arts. 1.033 a 1.038;Lei nº 10.406/02 (Código Civil) - .;Dissolução
4,939;5,724;- Art. 50.;Lei nº 10.406/02 (Código Civil);Desconsideração da Personalidade Jurídica
4,94;5,724;Art. 1.057 e 1.028 a 1.032. e 1.004.;Lei nº 10.406/02 (Código Civil) -;Ingresso e Exclusão dos Sócios na Sociedade
4,942;5,724;Art. 1.022 a 1.027.;Lei nº 10.406/02 (Código Civil) -;Responsabilidade dos sócios e administradores
4,943;5,724;Art. 997 e 999.;Lei nº 10.406/02 (Código Civil) -;Transferência de cotas
4,949;7,681;arts. 887 a 926;Lei 10.406/02 (Código Civil);Títulos de Crédito
4,951;4,949;arts. 907 a 913;"Lei nº 10.406/02 (Código Civil) - ;";Anulação
4,957;4,949;"- art. 889;";Lei nº 10.406/02 (Código Civil);Requisitos
4,96;7,717;art. 1º;"Medida Provisória nº 2160-25, de 13.08.2001;";Cédula de Crédito Bancário
4,961;7,717;art. 1º;"Lei Federal nº 6313/75;";Cédula de Crédito à Exportação
4,962;7,717;art. 1º;"Lei Federal nº 6840/80;";Cédula de Crédito Comercial
4,963;7,717;"arts. 9º a 14 e 19 a 52;";Decreto-Lei nº 413/69 (TCI),;Cédula de Crédito Industrial
4,964;7,717;"arts. 9º a 41;";Decreto-Lei nº 167/67,;Cédula de Crédito Rural
4,968;7,717;art. 1º;"Lei Federal nº 8929/94;";Cédula de Produto Rural
4,969;7,717;Lei nº 10.406/02 (Código Civil) - art. 1486;Lei nº 10.406/02 (Código Civil) - art. 1486;Cédula Hipotecária
4,97;7,717;arts. 1º a 62;"Lei Federal nº 7357/85 (Lei do Cheque);";Cheque
4,971;7,717;art. 52;"Lei Federal nº 6404/76, art. 72;";Debêntures
4,972;7,717;art. 1º;"Lei Federal nº 5474/68;";Duplicata
4,973;7,717;"arts. 1º a 53;";Decreto nº 2044/1908,;Letra de Câmbio
4,974;7,717;art. 1º e 5º;"Lei nº 6840/80;";Nota de Crédito Comercial
4,975;7,717;arts. 15 a 18;"Decreto-Lei nº 413/69 (TCI), arts, 15 a 18;";Nota de Crédito Industrial
4,976;7,717;arts. 27 a 29;"Decreto-lei nº 167/67, ;";Nota de Crédito Rural
4,98;7,717;arts. 54 a 57;"Decreto nº 2044/1908, arts. 54 a 57;";Nota Promissória
4,981;7,717;"Decreto 1102, art. 15; Lei 11076, art. 1º";"Decreto nº 1102/1903 , Lei Federal nº 9973/2000,Lei Federal nº 11076/2004;";Warrant
4,994;4,993;Arts. 161 a 167;Lei: 11.101/05;Recuperação extrajudicial
4,998;4,993;Arts. 105 a 107;Lei: 11.101/05;Autofalência
5;4,993;artigos 83 e 84 115;Lei: 11.101/05;Concurso de Credores
5,001;4,993;Arts 139 a 153;Lei: 11.101/05 -;Liquidação
5,003;4,993;arts. 130;Lei: 11.101/05;Revogação de atos praticados em prejuízo de credores e da massa
5,01;5,009;Lei 4728, art. 5º;Lei: 4.728/65, Decreto-Lei: 1.401/76, Resolução CMN: 1.289/87, Lei: 10.303/01;Bolsa de Valores
5,193;7,783;art. 2º, II;Lei 9537;Engajamento e Profissionais Marítimos
5,194;7,783;Arts. 666 a 730;Ccom;Seguros Marítimos
5,196;7,783;Arts. 566 a 574;Ccom;Aluguel de Embarcações (Fretamento E Carta Partida)
5,356;1,937;Art. 2º, § 2º;CLT;Grupo Econômico
5,555;287;14, II;CP;Crime Tentado
5,556;3,385;129, § 1º;CP;Grave
5,557;3,385;129, § 2º;CP;Gravíssima
5,558;3,385;129, § 4º;CP;Privilegiada
5,56;3,385;129, § 9º e 11;CP;Decorrente de Violência Doméstica
5,564;3,415;155, § 2º;CP;Furto Privilegiado
5,565;3,415;155, § 5º;CP;Furto de Veículo Automotor a ser Transportado para outro Estado ou Exterior
5,566;3,415;157, § 2º;CP;Roubo Majorado
5,567;3,415;157, § 3º, 2ª parte;CP;Latrocínio
5,568;3,415;159, § 3º;CP;Extorsão mediante Seqüestro Seguida de Morte
5,569;3,415;159, § 2º;CP;Extorsão mediante Sequestro Seguida de Lesão Corporal Grave
5,57;3,415;162;CP;Supressão ou Alteração de Marca em Animais
5,571;3,415;163, parágrafo único;CP;Dano Qualificado
5,572;3,415;169;I;Apropriação de Tesouro
5,573;3,415;169, Parágrafo Único, II.;CP;Apropriação de Coisa Achada
5,575;7,784;753 a 760;CCom;Abandono
5,577;7,784;arts. 731 a 752;Ccom;Acidentes da Navegação
5,585;1,146;15 a 21;L 9.537 (art. 2º, 19) e Lei 7652;Registro / Cadastro do Armador
5,589;7,784;479 a 483, 607 a 609;"CCom; D 15.788/1922; D 351/1935";Arresto de Embarcação
5,591;7,784;art. 1º;Lei 7203/84;Assistência / Salvamento
5,592;7,784;Arts. 761 a 796;Ccom;Avaria
5,595;1,146;496 a 537;CCom;Responsabilidade do Comandante ou Capitão
5,603;1,146;1º, 2º, 3º, § ún. 4º e 5º, § ún.;Lei 7652 de 1988;Inscrição / Registro da Embarcação
5,609;7,783;12, 13, 14 e 23;Lei 7652 de 1988;Hipoteca Marítima
5,612;7,783;"477;";"CCom; L 7.652/1988";Créditos / Privilégios Marítimos
5,621;1,146;457 483;CCom;Serviços Auxiliares da Navegação
5,632;7,947;arts. 189 a 211;Lei 10406/02;Prescrição e Decadência
5,68;9,58;"arts. 53 a 67;";Lei Federal nº 9610/98 (Lei de Direitos Autorais),;Edição
5,754;899;Título I, Capítulo I;Lei 10.406/02 (CCB);Pessoas naturais
5,787;5,779;1.699;Lei 10406/02;Exoneração
5,788;5,779;1.699;Lei 10406/02;Revisão
5,801;10,577;839;Lei 5.869;Busca e Apreensão de Menores
5,802;10,577;1.583 a 1.586, 1.590 e 1.724;Lei 10406/02;Guarda
5,804;10,577;1.601, 1.606 e 1.615;Lei 10406/02;Investigação de Paternidade
5,805;10,577;1.589 e 1.590;Lei 10406/02;Regulamentação de Visitas
5,813;5,808;1.548 e 1.550;Lei 10406/02;Nulidade / Anulação
5,825;7,673;"185; 166; 167";Lei 10406/02;Nulidade e Anulação de Testamento
5,829;7,673;"2.027 (CC); 1.029 (CPC)";Lei 10406/02 e CPC;Nulidade e Anulação de Partilha e Adjudicação de Herança
5,831;7,673;"CC, art. 1911, parágrafo único; CPC, art. 1112, II";Lei 10406/02 (Código Civil e Lei 5869/73 (Código de Processo Civil);Sub-rogação de Vinculo
5,832;7,673;1815;Lei 10406/02;Exclusão de herdeiro ou legatário
5,833;7,673;1824;Lei 10406/02;Petição de Herança
5,834;7,673;1965;Lei 10406/02;Deserdação
5,835;3,415;171, § 2º, I;CP;Disposição de coisa alheia como própria
5,836;3,415;171, § 2º, II;CP;Alienação ou Oneração Fraudulenta de Coisa Própria
5,837;3,415;171, § 2º, III;CP;Defraudação de Penhor
5,838;3,415;171, § 2º, IV;CP;Fraude na Entrega de Coisa
5,839;3,415;171, § 2º, V;CP;Fraude para Recebimento de Indenização ou Valor de Seguro
5,84;3,415;171, § 2º, VI;CP;Fraude no Pagamento por Meio de Cheque
5,841;3,415;172;CP;Duplicata Simulada
5,842;3,415;173;CP;Abuso de Incapazes
5,843;3,415;174;CP;Induzimento à Especulação
5,844;3,415;175;CP;Fraude no Comércio
5,845;3,415;177;CP;Fraudes e Abusos na Fundação ou Administração de Sociedade por Ações
5,846;3,415;178;CP;"Emissão Irregular de Conhecimento de Depósito ou &quot;Warrant&quot;"
5,847;3,415;180, § 2º;CP;Receptação Qualificada
5,85;3,463;215;CP;Posse Sexual Mediante Fraude
5,851;3,463;216-A;CP;Assédio Sexual
5,852;3,463;228;CP;Favorecimento da Prostituição
5,853;3,463;229;CP;Casa de Prostituição
5,854;3,463;230;CP;Rufianismo
5,855;3,463;231;CP;Tráfico Internacional de Pessoas
5,856;3,463;231-A;CP;Tráfico Interno de Pessoas
5,862;3,491;253;CP;Fabrico / Fornecimento / Aquisição / Posse ou Transporte de Explosivos ou Gás Tóxico ou Asfixiante
5,865;287;art. 18, II;CP;Crime Culposo
5,866;3,491;276;CP;Venda de Produtos ou Substância nas Condições dos Artigos 274 e 275
5,867;3,491;280;CP;Medicamento em Desacordo com Receita Médica
5,869;3,52;286;CP;Incitação ao Crime
5,87;3,52;287;CP;Apologia de Crime ou Criminoso
5,872;287;1°;Lei 6.453/77;Crimes Praticados por Particular Contra a Administração em Geral
5,873;287;arts. 337-B a 337-D;CP;Crimes Praticados por Particular Contra a Administração Pública Estrangeira
5,875;287;359-A a 359-H;CP;Crimes Contra as Finanças Públicas
5,876;5,873;337-B;CP;Corrupção Ativa em Transação Comercial Internacional
5,877;5,873;337-C;CP;Tráfico de Influência em Transação Comercial Internacional
5,878;3,438;art. 183 a 186;Lei 9.279/96;Crimes contra Patente de Invenção
5,879;3,438;art 187 a 188;Lei 9.279/96;Crimes contra os Desenhos Industriais
5,88;3,438;Art 189 a 190;Lei 9.279/96;Crimes contra as Marcas
5,881;3,438;Art 191;Lei 9.279/96;Crimes Cometidos por Meio de Marca, Título de Estabelecimento e Sinal de Propaganda
5,882;3,438;Arts. 192 a 194;Lei 9.279/96;Crimes contra Indicações Geeográficas e Demais Indicações
5,883;3,438;Art. 195;Lei 9.279/96;Crimes de Concorrência Desleal
5,885;3,607;Art 28;Lei 11.343/06;Posse de Drogas para Consumo Pessoal
